No,word,POST,Meaning,Amharic,"["""
1282,descendant,n,"One who is descended lineally from another, as a child, grandchild, etc",ዘር,
1283,descendent,adj,Proceeding downward,ወራጅ,
1284,descent,n,The act of moving or going downward,መውረድ,
1285,descry,v,To discern,ማየት,
1286,desecrate,v,"to violate, to make impure, to defile",ማጥፋት,
1287,desert,v,To abandon without regard to the welfare of the abandoned,መተው,
1288,desiccant,n,"Any remedy which, when applied externally, dries up or absorbs moisture, as that of wounds",ማድረቂያ,
1289,designate,v,"To select or appoint, as by authority",መሰየም,
1290,desist,v,To cease from action,ማቆም,
1291,desistance,n,Cessation,ማቆም,
1292,despair,n,Utter hopelessness and despondency,ተስፋ መቁረጥ,
1293,desperado,n,One without regard for law or life,ማፍረስ,
1294,desperate,adj,"Resorted to in a last extremity, or as if prompted by utter despair",ተስፋ የቆረጠ,
1295,despicable,adj,Contemptible,የሚናቅ,
1296,despite,prep,In spite of,ቢሆንም,
1297,despond,v,"To lose spirit, courage, or hope",ተስፋ መቁረጥ,
1298,despondent,adj,"Disheartened,,downhearted, dejected",ተስፋ የቆረጠ,
1299,despot,n,An absolute and irresponsible monarch,ፍጹም ገዥ,
1300,despotism,n,Any severe and strict rule in which the judgment of the governed has little or no part,ፍጹም አገዛዝ,
1301,destitute,adj,"Poverty-stricken,,extremely poor, poverty stricken",ድሃ,
1302,desultory,adj,Not connected with what precedes,የተበታተነ,
1303,deter,v,To frighten away,ማስፈራራት,
1304,deteriorate,v,To grow worse,መበላሸት,
1305,determinate,adj,Definitely limited or fixed,የተወሰነ,
1306,determination,n,The act of deciding,ውሳኔ,
1307,deterrent,adj,"Hindering from action through fear,,something that prevents something from happening",መከላከያ,
1308,detest,v,To dislike or hate with intensity,መጥላት,
1309,detract,v,To take away in such manner as to lessen value or estimation,ማዋረድ,
1310,detriment,n,"Something that causes damage, depreciation, or loss",ጉዳት,
1311,detrimental,adj,harmful,ጎጂ,
1312,detrude,v,To push down forcibly,መግፋት,
1313,deviate,v,To take a different course,መዛባት,
1314,devilry,n,Malicious mischief,ክፋት,
1315,deviltry,n,Wanton and malicious mischief,ክፋት,
1316,devious,adj,"Out of the common or regular track,,tricky, crafty, unprincipled",ተንኮለኛ,
1317,devise,v,To invent,መፍጠር,
1318,devout,adj,Religious,አምላካዊ,
1319,dexterity,n,"Readiness, precision, efficiency, and ease in any physical activity or in any mechanical work",ችሎታ,
1320,diabolic,adj,Characteristic of the devil,የዲያብሎስ,
1321,diacritical,adj,Marking a difference,ልዩ,
1322,diagnose,v,"To distinguish, as a disease, by its characteristic phenomena",መመርመር,
1323,diagnosis,n,Determination of the distinctive nature of a disease,ምርመራ,
1324,dialect,n,Forms of speech collectively that are peculiar to the people of a particular district,ቀበሌኛ,
1325,dialectician,n,A logician,ሎጂክ ባለሙያ,
1326,dialogue,n,A formal conversation in which two or more take part,ውይይት,
1327,diaphanous,adj,Transparent,ግልጽ,
1328,diatomic,adj,Containing only two atoms,ሁለት አቶም,
1329,diatribe,n,"A bitter or malicious criticism,,a lengthy and accusatory speech",ከፍተኛ ትችት,
1330,dictum,n,A positive utterance,አባባል,
1331,didactic,adj,Pertaining to teaching,የማስተማር,
1332,difference,n,Dissimilarity in any respect,ልዩነት,
1333,differentia,n,Any essential characteristic of a species by reason of which it differs from other species,ልዩነት,
1334,differential,adj,Distinctive,ልዩ,
1335,differentiate,v,To acquire a distinct and separate character,መለየት,
1336,diffidence,n,Self-distrust,በራስ አለመተማመን,
1337,diffident,adj,Affected or possessed with self-distrust,በራስ የማይተማመን,
1338,diffusible,adj,Spreading rapidly through the system and acting quickly,የሚሰራጭ,
1339,diffusion,n,Dispersion,መስፋፋት,
1340,dignitary,n,One who holds high rank,ከፍተኛ ባለስልጣን,
1341,digraph,n,A union of two characters representing a single sound,ሁለት ፊደላት,
1342,digress,v,"To turn aside from the main subject and for a time dwell on some incidental matter,,to turn away from the main point, to get off track",መዛባት,
1343,dilapidated,pa,Fallen into decay or partial ruin,ፈራስ,
1344,dilate,v,To enlarge in all directions,ማስፋት,
1345,dilatory,adj,"Tending to cause delay,,tending to delay",የሚያዘገይ,
1346,dilemma,n,A situation in which a choice between opposing modes of conduct is necessary,ችግር,
1347,dilettante,n,A superficial amateur,አማተር,
1348,diligence,n,Careful and persevering effort to accomplish what is undertaken,ትጋት,
1349,dilute,v,To make more fluid or less concentrated by admixture with something,ማቅለል,
1350,diminution,n,"Reduction,,a decrease or diminishing",መቀነስ,
1351,dimly,adv,Obscurely,በደካማ,
1352,diphthong,n,The sound produced by combining two vowels in to a single syllable or running together the sounds,ሁለት አናባቢዎች,
1353,diplomacy,n,"Tact, shrewdness, or skill in conducting any kind of negotiations or in social matters",ዲፕሎማሲ,
1354,diplomat,n,A representative of one sovereign state at the capital or court of another,ዲፕሎማት,
1355,diplomatic,adj,Characterized by special tact in negotiations,ዲፕሎማሲያዊ,
1356,diplomatist,n,One remarkable for tact and shrewd management,ዲፕሎማት,
1357,disagree,v,To be opposite in opinion,መቃወም,
1358,disallow,v,To withhold permission or sanction,መከልከል,
1359,disappear,v,"To cease to exist, either actually or for the time being",መጥፋት,
1360,disappoint,v,"To fail to fulfill the expectation, hope, wish, or desire of",ማሳዘን,
1361,disapprove,v,To regard with blame,መቃወም,
1362,disarm,v,To deprive of weapons,ማስታጠቅ,
1363,disarrange,v,To throw out of order,ማበላሸት,
1364,disavow,v,To disclaim responsibility for,መካድ,
1365,disavowal,n,Denial,መካድ,
1366,disbeliever,n,One who refuses to believe,አማኝ ያልሆነ,
1367,disburden,v,To disencumber,ማቅለል,
1368,disburse,v,"To pay out or expend, as money from a fund",መክፈል,
1369,discard,v,To reject,መጣል,
1370,discernible,adj,Perceivable,የሚታወቅ,
1371,disciple,n,"One who believes the teaching of another, or who adopts and follows some doctrine",ደቀ መዝሙር,
1372,disciplinary,adj,Having the nature of systematic training or subjection to authority,የዲሲፕሊን,
1373,discipline,v,To train to obedience,ማስተማር,
1374,disclaim,v,"To disavow any claim to, connection with, or responsibility to",መካድ,
1375,disclose,v,"to open, admit, reveal",መግለጥ,
1376,discolor,v,To stain,ማቀለም,
1377,discomfit,v,To put to confusion,ማደናገር,
1378,discomfort,n,The state of being positively uncomfortable,ምቾት ማጣት,
1379,disconnect,v,To undo or dissolve the connection or association of,ማቋረጥ,
1380,disconsolate,adj,Grief-stricken,ሀዘን,
1381,discontinuance,n,Interruption or intermission,ማቋረጥ,
1382,discord,n,Absence of harmoniousness,አለመስማማት,
1383,discountenance,v,To look upon with disfavor,መቃወም,
1384,discover,v,"To get first sight or knowledge of, as something previously unknown or unperceived",ማግኘት,
1385,discredit,v,To injure the reputation of,ስም ማጥፋት,
1386,discreet,adj,Judicious,ልባም,
1387,discrepant,adj,Opposite,ተቃራኒ,
1388,discriminate,v,To draw a distinction,መለየት,
1389,discursive,adj,Passing from one subject to another,የሚዘልል,
1390,discussion,n,Debate,ውይይት,
1391,disdain,v,contempt or scorn; bitter dislike,ንቀት,
1392,disenfranchise,v,To deprive of any right privilege or power,መብት ማጥፋት,
1393,disengage,v,To become detached,መለየት,
1394,disfavor,n,Disregard,አለመደገፍ,
1395,disfigure,v,"To impair or injure the beauty, symmetry, or appearance of",ማበላሸት,
1396,dishabille,n,Undress or negligent attire,የቤት ልብስ,
1397,dishonest,adj,Untrustworthy,ሐሰተኛ,
1398,disillusion,v,To disenchant,ማበሳጨት,
1399,disinfect,v,To remove or destroy the poison of infectious or contagious diseases,ማጽዳት,
1400,disinfectant,n,A substance used to destroy the germs of infectious diseases,ፀረ-ተህዋሲያን,
1401,disinherit,v,To deprive of an inheritance,ውርስ ማጥፋት,
1402,disinterested,adj,Impartial,ገለልተኛ,
1403,disjunctive,adj,Helping or serving to disconnect or separate,የሚለይ,
1404,dislocate,v,To put out of proper place or order,ማፈናቀል,
1405,dismissal,n,Displacement by authority from an office or an employment,ማሰናበት,
1406,dismount,v,"To throw down, push off, or otherwise remove from a horse or the like",መውረድ,
1407,disobedience,n,Neglect or refusal to comply with an authoritative injunction,አለመታዘዝ,
1408,disobedient,adj,Neglecting or refusing to obey,አላጋዥ,
1409,disown,v,To refuse to acknowledge as one's own or as connected with oneself,መካድ,
1410,disparage,v,To regard or speak of slightingly,ማቃለል,
1411,disparity,n,Inequality,ልዩነት,
1412,dispel,v,To drive away by or as by scattering in different directions,ማባረር,
1413,dispensation,n,That which is bestowed on or appointed to one from a higher power,ስርዓት,
1414,displace,v,To put out of the proper or accustomed place,ማፈናቀል,
1415,dispossess,v,"To deprive of actual occupancy, especially of real estate",ማስወገድ,
1416,disputation,n,Verbal controversy,ክርክር,
1417,disqualify,v,To debar,ማግለል,
1418,disquiet,v,To deprive of peace or tranquility,ማስጨነቅ,
1419,disregard,v,To take no notice of,ችላ ማለት,
1420,disreputable,adj,Dishonorable or disgraceful,ዝና የሌለው,
1421,disrepute,n,A bad name or character,መጥፎ ስም,
1422,disrobe,v,To unclothe,ማውለቅ,
1423,disrupt,v,To burst or break asunder,ማፍረስ,
1424,dissatisfy,v,To displease,ማስቆጣት,
1425,dissect,v,To cut apart or to pieces,መቁረጥ,
1426,dissection,n,"The act or operation of cutting in pieces, specifically of a plant or an animal",መቁረጥ,
1427,dissemble,v,To hide by pretending something different,ማስመሰል,
1428,disseminate,v,"To sow or scatter abroad, as seed is sown",ማሰራጨት,
1429,dissension,n,Angry or violent difference of opinion,አለመስማማት,
1430,dissent,n,Disagreement,አለመስማማት,
1431,dissentient,n,One who disagrees,ተቃዋሚ,
1432,dissentious,adj,Contentious,ክርክር,
1433,dissertation,n,Thesis,ጥናት,
1434,disservice,n,An ill turn,ጉዳት,
1435,dissever,v,To divide,መከፋፈል,
1436,dissident,n,one who opposes,ተቃዋሚ,
1437,dissimilar,adj,Different,የተለየ,
1438,dissipate,v,To disperse or disappear,ማባከን,
1439,dissipation,n,The state of being dispersed or scattered,መበተን,
1440,dissolute,adj,Lewd,ሥጋዊ,
1441,dissolution,n,A breaking up of a union of persons,መፍረስ,
1442,dissolve,v,"To liquefy or soften, as by heat or moisture",መቅለጥ,
1443,dissonance,n,Discord,አለመስማማት,
1444,dissonant,adj,Harsh or disagreeable in sound,የማይስማማ,
1445,dissuade,v,"To change the purpose or alter the plans of by persuasion, counsel, or pleading",ማሳሰብ,
1446,dissuasion,n,"The act of changing the purpose of or altering the plans of through persuasion, or pleading",ማሳሰብ,
1447,distemper,n,A disease or malady,በሽታ,
1448,distend,v,To stretch out or expand in every direction,ማስፋት,
1449,distensible,adj,Capable of being stretched out or expanded in every direction,የሚስፋፋ,
1450,distention,n,Expansion,መስፋፋት,
1451,distill,v,To extract or produce by vaporization and condensation,ማጣራት,
1452,distillation,n,Separation of the more volatile parts of a substance from those less volatile,ማጣራት,
1453,distiller,n,One occupied in the business of distilling alcoholic liquors,የአልኮል አምራች,
1454,distinction,n,"A note or designation of honor, officially recognizing superiority or success in studies",ልዩነት,
1455,distort,v,To twist into an unnatural or irregular form,ማዛባት,
1456,distrain,v,To subject a person to distress,ማስገደድ,
